2025-11-27 17:16:13.896024  |  [OK] ONGC         | TF:D
2025-11-27 17:16:14.330632  |  [OK] FEDERALBNK   | TF:W
2025-11-27 17:16:14.898600  |  [OK] PAGEIND      | TF:D
2025-11-27 17:16:15.480585  |  [OK] FORTIS       | TF:W
2025-11-27 17:16:15.827373  |  [OK] PATANJALI    | TF:D
2025-11-27 17:16:16.525063  |  [OK] GAIL         | TF:W
2025-11-27 17:16:16.820802  |  [OK] PAYTM        | TF:D
2025-11-27 17:16:17.520490  |  [OK] GLENMARK     | TF:W
2025-11-27 17:16:17.850265  |  [OK] PFC          | TF:D
2025-11-27 17:16:18.494330  |  [OK] GMRAIRPORT   | TF:W
2025-11-27 17:16:18.839850  |  [OK] PGEL         | TF:D
2025-11-27 17:16:19.600665  |  [OK] GODREJCP     | TF:W
2025-11-27 17:16:20.034683  |  [OK] PHOENIXLTD   | TF:D
2025-11-27 17:16:20.433146  |  [OK] GODREJPROP   | TF:W
2025-11-27 17:16:20.898154  |  [OK] PIIND        | TF:D
2025-11-27 17:16:21.322612  |  [OK] GRASIM       | TF:W
2025-11-27 17:16:21.905706  |  [OK] PNB          | TF:D
2025-11-27 17:16:22.179789  |  [OK] PNBHOUSING   | TF:D
2025-11-27 17:16:22.365212  |  [OK] HAL          | TF:W
2025-11-27 17:16:22.632469  |  [OK] POLICYBZR    | TF:D
2025-11-27 17:16:23.104472  |  [OK] HDFCAMC      | TF:W
2025-11-27 17:16:23.657052  |  [OK] POLYCAB      | TF:D
2025-11-27 17:16:24.155637  |  [OK] HDFCBANK     | TF:W
2025-11-27 17:16:24.674734  |  [OK] NHPC         | TF:D
2025-11-27 17:16:25.106748  |  [OK] HDFCLIFE     | TF:W
2025-11-27 17:16:25.667005  |  [OK] HCLTECH      | TF:D
2025-11-27 17:16:26.143522  |  [OK] HEROMOTOCO   | TF:W
2025-11-27 17:16:26.680785  |  [OK] POWERGRID    | TF:D
2025-11-27 17:16:27.160500  |  [OK] HINDALCO     | TF:W
2025-11-27 17:16:27.623577  |  [OK] PPLPHARMA    | TF:D
2025-11-27 17:16:28.338686  |  [OK] HINDPETRO    | TF:W
2025-11-27 17:16:28.675550  |  [OK] PRESTIGE     | TF:D
2025-11-27 17:16:29.343881  |  [OK] HINDUNILVR   | TF:W
2025-11-27 17:16:29.732406  |  [OK] RBLBANK      | TF:D
2025-11-27 17:16:30.205062  |  [OK] HINDZINC     | TF:W
2025-11-27 17:16:30.677417  |  [OK] RECLTD       | TF:D
2025-11-27 17:16:31.155533  |  [OK] HUDCO        | TF:W
2025-11-27 17:16:31.710764  |  [OK] RELIANCE     | TF:D
2025-11-27 17:16:32.163253  |  [OK] ICICIBANK    | TF:W
2025-11-27 17:16:32.656083  |  [OK] RVNL         | TF:D
2025-11-27 17:16:33.137749  |  [OK] ICICIGI      | TF:W
2025-11-27 17:16:33.671552  |  [OK] SAIL         | TF:D
2025-11-27 17:16:34.228314  |  [OK] ICICIPRULI   | TF:W
2025-11-27 17:16:34.632799  |  [OK] IDEA         | TF:W
2025-11-27 17:16:35.241728  |  [OK] ANGELONE     | TF:W
2025-11-27 17:16:35.835514  |  [OK] IDFCFIRSTB   | TF:W
